year,month,carrier,carrier_name,airport,airport_name,year,month,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,violated_rule
2024,12,G4,Allegiant Air,BTV,"Burlington, VT: Burlington International",2024,12,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2024,11,C5,CommuteAir LLC dba CommuteAir,DAY,"Dayton, OH: James M Cox/Dayton International",2024,11,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2024,10,C5,CommuteAir LLC dba CommuteAir,PVD,"Providence, RI: Rhode Island Tf Green International",2024,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2024,9,G7,GoJet Airlines LLC d/b/a United Express,HHH,"Hilton Head, SC: Hilton Head Airport",2024,9,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2024,9,MQ,Envoy Air,CAE,"Columbia, SC: Columbia Metropolitan",2024,9,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2024,9,UA,United Air Lines Network,EGE,"Eagle, CO: Eagle County Regional",2024,9,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2024,9,YX,Republic Airline,GRB,"Green Bay, WI: Green Bay Austin Straubel International",2024,9,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2024,7,F9,Frontier Airlines,MCO,"Orlando, FL: Orlando International",2024,7,1274.0,393.0,92.3,3.21,69.13,0.0,227.36,52.0,1.0,39334.0,13583.0,363.0,4100.0,0.0,21108.0,cause_delays_sum_mismatch
2024,7,F9,Frontier Airlines,MIA,"Miami, FL: Miami International",2024,7,372.0,136.0,31.6,1.79,19.93,0.0,81.68,16.0,0.0,12812.0,2068.0,124.0,1080.0,0.0,9414.0,cause_delays_sum_mismatch
2024,6,YX,Republic Airline,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins International",2024,6,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2024,4,UA,United Air Lines Network,MAF,"Midland/Odessa, TX: Midland International Air and Space Port",2024,4,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2024,4,PT,Piedmont Airlines,CAK,"Akron, OH: Akron-Canton Regional",2024,4,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2024,3,F9,Frontier Airlines,IAD,"Washington, DC: Washington Dulles International",2024,3,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2024,3,G7,GoJet Airlines LLC d/b/a United Express,CHO,"Charlottesville, VA: Charlottesville Albemarle",2024,3,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
