year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,12,C5,CommuteAir LLC dba CommuteAir,AUS,"Austin, TX: Austin - Bergstrom International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,12,G4,Allegiant Air,BTV,"Burlington, VT: Burlington International",,,,,,,,,,,,,,,
2024,11,C5,CommuteAir LLC dba CommuteAir,DAY,"Dayton, OH: James M Cox/Dayton International",,,,,,,,,,,,,,,
2024,10,C5,CommuteAir LLC dba CommuteAir,PVD,"Providence, RI: Rhode Island Tf Green International",,,,,,,,,,,,,,,
2024,9,G7,GoJet Airlines LLC d/b/a United Express,HHH,"Hilton Head, SC: Hilton Head Airport",,,,,,,,,,,,,,,
2024,9,MQ,Envoy Air,CAE,"Columbia, SC: Columbia Metropolitan",,,,,,,,,,,,,,,
2024,9,UA,United Air Lines Network,EGE,"Eagle, CO: Eagle County Regional",,,,,,,,,,,,,,,
2024,9,YX,Republic Airline,GRB,"Green Bay, WI: Green Bay Austin Straubel International",,,,,,,,,,,,,,,
2024,6,YX,Republic Airline,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins International",,,,,,,,,,,,,,,
2024,4,UA,United Air Lines Network,MAF,"Midland/Odessa, TX: Midland International Air and Space Port",,,,,,,,,,,,,,,
2024,4,PT,Piedmont Airlines,CAK,"Akron, OH: Akron-Canton Regional",,,,,,,,,,,,,,,
2024,3,F9,Frontier Airlines,IAD,"Washington, DC: Washington Dulles International",,,,,,,,,,,,,,,
2024,3,G7,GoJet Airlines LLC d/b/a United Express,CHO,"Charlottesville, VA: Charlottesville Albemarle",,,,,,,,,,,,,,,
2024,3,OO,SkyWest Airlines Inc.,GCK,"Garden City, KS: Garden City Regional",,,,,,,,,,,,,,,
2024,2,ZW,Air Wisconsin Airlines Corp,MQT,"Marquette, MI: Marquette Sawyer Regional",3.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,ZW,Air Wisconsin Airlines Corp,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,NK,Spirit Airlines,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",,,,,,,,,,,,,,,
2024,1,OO,SkyWest Airlines Inc.,BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",,,,,,,,,,,,,,,
2024,1,YV,Mesa Airlines Inc.,BTV,"Burlington, VT: Burlington International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,YX,Republic Airline,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,C5,CommuteAir LLC dba CommuteAir,BDL,"Hartford, CT: Bradley International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,G7,GoJet Airlines LLC d/b/a United Express,CAK,"Akron, OH: Akron-Canton Regional",,,,,,,,,,,,,,,
2023,12,UA,United Air Lines Network,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",,,,,,,,,,,,,,,
2023,12,G7,GoJet Airlines LLC d/b/a United Express,SBN,"South Bend, IN: South Bend International",,,,,,,,,,,,,,,
2023,12,YV,Mesa Airlines Inc.,ROA,"Roanoke, VA: Roanoke Blacksburg Regional",,,,,,,,,,,,,,,
2023,12,YX,Republic Airline,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",,,,,,,,,,,,,,,
2023,11,C5,CommuteAir LLC dba CommuteAir,BTV,"Burlington, VT: Burlington International",,,,,,,,,,,,,,,
2023,11,C5,CommuteAir LLC dba CommuteAir,PVD,"Providence, RI: Rhode Island Tf Green International",,,,,,,,,,,,,,,
2023,10,YV,Mesa Airlines Inc.,PNS,"Pensacola, FL: Pensacola International",,,,,,,,,,,,,,,
2023,8,C5,CommuteAir LLC dba CommuteAir,DAY,"Dayton, OH: James M Cox/Dayton International",,,,,,,,,,,,,,,
2023,8,C5,CommuteAir LLC dba CommuteAir,LBB,"Lubbock, TX: Lubbock Preston Smith International",,,,,,,,,,,,,,,
2023,8,C5,CommuteAir LLC dba CommuteAir,PWM,"Portland, ME: Portland International Jetport",,,,,,,,,,,,,,,
2023,8,G7,GoJet Airlines LLC d/b/a United Express,CHS,"Charleston, SC: Charleston AFB/International",1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,8,YV,Mesa Airlines Inc.,ECP,"Panama City, FL: Northwest Florida Beaches International",,,,,,,,,,,,,,,
2023,7,G7,GoJet Airlines LLC d/b/a United Express,MYR,"Myrtle Beach, SC: Myrtle Beach International",,,,,,,,,,,,,,,
2023,7,G7,GoJet Airlines LLC d/b/a United Express,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,7,YV,Mesa Airlines Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",,,,,,,,,,,,,,,
2023,6,C5,CommuteAir LLC dba CommuteAir,CHS,"Charleston, SC: Charleston AFB/International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,6,G7,GoJet Airlines LLC d/b/a United Express,CLT,"Charlotte, NC: Charlotte Douglas International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,6,MQ,Envoy Air,CLL,"College Station/Bryan, TX: Easterwood Field",,,,,,,,,,,,,,,
2023,6,MQ,Envoy Air,EUG,"Eugene, OR: Mahlon Sweet Field",,,,,,,,,,,,,,,
2023,6,MQ,Envoy Air,FSD,"Sioux Falls, SD: Joe Foss Field",,,,,,,,,,,,,,,
2023,6,MQ,Envoy Air,GRB,"Green Bay, WI: Green Bay Austin Straubel International",,,,,,,,,,,,,,,
2023,6,MQ,Envoy Air,HPN,"White Plains, NY: Westchester County",,,,,,,,,,,,,,,
2023,6,MQ,Envoy Air,MLI,"Moline, IL: Quad Cities International",,,,,,,,,,,,,,,
2023,6,MQ,Envoy Air,RIC,"Richmond, VA: Richmond International",,,,,,,,,,,,,,,
2023,6,MQ,Envoy Air,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",,,,,,,,,,,,,,,
2023,6,MQ,Envoy Air,RST,"Rochester, MN: Rochester International",,,,,,,,,,,,,,,
2023,6,OO,SkyWest Airlines Inc.,MLU,"Monroe, LA: Monroe Regional",,,,,,,,,,,,,,,
2023,6,OO,SkyWest Airlines Inc.,SPI,"Springfield, IL: Abraham Lincoln Capital",,,,,,,,,,,,,,,
2023,6,PT,Piedmont Airlines,PWM,"Portland, ME: Portland International Jetport",,,,,,,,,,,,,,,
2023,6,QX,Horizon Air,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",,,,,,,,,,,,,,,
2023,6,YV,Mesa Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",,,,,,,,,,,,,,,
2023,5,F9,Frontier Airlines,BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",,,,,,,,,,,,,,,
2023,5,ZW,Air Wisconsin Airlines Corp,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",,,,,,,,,,,,,,,
2023,4,C5,CommuteAir LLC dba CommuteAir,SYR,"Syracuse, NY: Syracuse Hancock International",,,,,,,,,,,,,,,
2023,4,G7,GoJet Airlines LLC d/b/a United Express,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",,,,,,,,,,,,,,,
2023,4,YX,Republic Airline,FSD,"Sioux Falls, SD: Joe Foss Field",,,,,,,,,,,,,,,
2023,4,ZW,Air Wisconsin Airlines Corp,PVD,"Providence, RI: Rhode Island Tf Green International",,,,,,,,,,,,,,,
2023,3,MQ,Envoy Air,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",,,,,,,,,,,,,,,
2023,3,MQ,Envoy Air,DAY,"Dayton, OH: James M Cox/Dayton International",,,,,,,,,,,,,,,
2023,3,MQ,Envoy Air,FNT,"Flint, MI: Bishop International",,,,,,,,,,,,,,,
2023,3,OO,SkyWest Airlines Inc.,LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",,,,,,,,,,,,,,,
2023,3,PT,Piedmont Airlines,CWA,"Mosinee, WI: Central Wisconsin",,,,,,,,,,,,,,,
2023,3,PT,Piedmont Airlines,DAY,"Dayton, OH: James M Cox/Dayton International",,,,,,,,,,,,,,,
2023,3,YV,Mesa Airlines Inc.,BUR,"Burbank, CA: Bob Hope",,,,,,,,,,,,,,,
2023,3,YV,Mesa Airlines Inc.,MLI,"Moline, IL: Quad Cities International",,,,,,,,,,,,,,,
2023,2,YV,Mesa Airlines Inc.,FSM,"Fort Smith, AR: Fort Smith Regional",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2,YV,Mesa Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",,,,,,,,,,,,,,,
2023,1,DL,Delta Air Lines Network,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",,,,,,,,,,,,,,,
2023,1,G7,GoJet Airlines LLC d/b/a United Express,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",,,,,,,,,,,,,,,
2023,1,G7,GoJet Airlines LLC d/b/a United Express,GRR,"Grand Rapids, MI: Gerald R. Ford International",,,,,,,,,,,,,,,
